"","comp1","comp2"
"TI3000489__cyto__extr",0,0
"TI3000489__chlo__cyto",0,0
"RXN.7676__chlo",0,0
"GLUTATHIONE.REDUCT.NADPH.RXN__chlo",0,0
"GLUTATHIONE.REDUCT.NADPH.RXN__cyto",0,0
"RXN.9624__cyto",0,0
"RXN.9624__chlo",0,0
"ASNSYNB.RXN__mito",0,0
"ASNSYNB.RXN__chlo",0,0
"ASNSYNB.RXN__cyto",0,0
"X1.18.1.2.RXN__chlo",0,0
"RXN.15127__chlo",0,-0.190063192043669
"RXN0.6427__cyto",0,0
"MALIC.NADP.RXN__chlo",0,-0.207372052264826
"GLYCERONE.KINASE.RXN__cyto",0,0
"X1.8.5.1.RXN__cyto",-0.208675412469966,0
"X1.8.5.1.RXN__chlo",0,0
"RXN.6622__cyto",0,0
"RXN.6622__extr",0,0
"RXN0.1133__mito",0,0
"RXN0.1133__chlo",0,0
"DCTP.PYROPHOSPHATASE.RXN__cyto",0,0
"RXN.7678__chlo",0,0
"OROTPDECARB.RXN__cyto",0,0
"RXN.13072__cyto",0,0
"METHIONINE.S.METHYLTRANSFERASE.RXN__cyto",0,0
"ADENOSINE.NUCLEOSIDASE.RXN__cyto",0,0
"INORGPYROPHOSPHAT.RXN__cyto",0,0
"INORGPYROPHOSPHAT.RXN__extr",0,0
"TI3000520__cyto__extr",0,0
"TI3000520__chlo__cyto",0,0
"PHOSPHORIBULOKINASE.RXN__chlo",-0.0347650260303126,0
"RXN.16891__cyto",0,0
"GLUTAMATE.SYNTHASE.NADH.RXN__mito",0,0
"GLUTAMATE.SYNTHASE.NADH.RXN__chlo",0,0
"ADENPRIBOSYLTRAN.RXN__cyto",0,0
"FAD.PYROPHOSPHATASE.RXN__chlo",0,0
"RXN0.5185__cyto",0,0
"SEDOBISALDOL.RXN__chlo",0,0
"SEDOBISALDOL.RXN__cyto",0,0
"RXN.9623__chlo",0,0
"RXN.23229__cyto",0,0
"RXN.15089__cyto",0,0
"RXN.14025__cyto",0,0
"SULFATE.ADENYLYLTRANS.RXN__cyto",0,0
"CYSTATHIONINE.BETA.SYNTHASE.RXN__chlo",0,-0.190218034890084
"X2.7.1.150.RXN__er",0,0
"X2.7.1.150.RXN__cyto",0,0
"OROPRIBTRANS.RXN__cyto",0,0
"GLYOXYLATE.REDUCTASE.NADP..RXN__cyto",0,0
"MALSYN.RXN__pero",0,0
"APYRASE.RXN__cyto",0,0
"APYRASE.RXN__er",0,0
"MYO.INOSITOL.1OR.4.MONOPHOSPHATASE.RXN__cyto",0,0
"GLUTAMATE.SYNTHASE.FERREDOXIN.RXN__chlo",0,0
"TO3002239__cyto__extr",0,0
"TO0012801__cyto__extr",0,0
"RXN.9952__chlo",0,0
"RXN.9952__cyto",0,0
"RXN.7978__chlo",0,0
"RXN.5822__mito",0,0
"RXN.5822__cyto",0,0
"RXN.7985__chlo",0,0
"DIHYDROPYRIMIDINASE.RXN__cyto",0,0
"TO1000132__chlo__cyto",0,0
"DHS.PHOSPHATASE.RXN__er",0,0
"TI3002461__cyto__extr",0,0
"RXN.18359__cyto",0,0
"TO3000758__cyto__extr",0,0
"TO3000758__chlo__cyto",0,0
"RXN.14515__cyto",0,0
"RXN.14515__mito",0,0
"GLYCEROL.KIN.RXN__cyto",0,0
"GLYCEROL.KIN.RXN__pero",0,0
"RXN.16892__cyto",0,0
"PYRUVDEH.RXN__mito",0,0
"PYRUVDEH.RXN__chlo",0,0
"TO1000054__chlo__cyto",0,0
"RXNQT.4385__cyto",0,0
"X3.5.5.4.RXN__cyto",0,0
"TO0011677__cyto__extr",-0.160196751673168,0
"TI3000690__cyto__extr",0,0
"TI3000695__cyto__extr",0,0.138720642154391
"TI3002480__cyto__extr",0,0
"PRPPSYN.RXN__chlo",0,0
"RIBOKIN.RXN__cyto",0,0
"GPH.RXN__chlo",-0.0347650222422023,0
"TI3000046__cyto__extr",0,0
"TI3000046__chlo__cyto",0,0
"GLUTATHIONE.PEROXIDASE.RXN__cyto",-0.208675415188091,0
"TO3001988__cyto__extr",0,0
"GLUTAMIN.RXN__chlo",0,0
"GLUTAMIN.RXN__mito",0,0
"GLUTAMIN.RXN__cyto",0,0
"UDPKIN.RXN__chlo",-0.260498136732164,0
"UDPKIN.RXN__cyto",-0.26049813701118,0
"UDPKIN.RXN__mito",-0.260498136458879,0
"X1.2.1.9.RXN__cyto",0,0
"RXN.12002__cyto",0,0
"RXN.12002__mito",0,0
"RXN.12002__chlo",0,0
"DCDPKIN.RXN__cyto",0,0
"DCDPKIN.RXN__mito",0,0
"TO3000946__cyto__extr",0,0
"TO3000946__chlo__cyto",0,0
"SULFITE.OXIDASE.RXN__pero",0,0
"RXN.20597__cyto",0,0
"RXN.15131__chlo",0,-0.190063190679969
"RXN0.7250__cyto",0,0
"PSII.RXN__chlo",0,0
"PYRROLINECARBREDUCT.RXN__chlo",0,0
"PYRROLINECARBREDUCT.RXN__cyto",0,0
"GLUTAMINESYN.RXN__cyto",0,0
"GLUTAMINESYN.RXN__chlo",0,0
"GLUTAMINESYN.RXN__mito",0,0
"GLU6PDEHYDROG.RXN__chlo",0,0
"GLU6PDEHYDROG.RXN__cyto",0,0
"X1.8.4.9.RXN__chlo",0,0
"X1.8.4.9.RXN__cyto",0,0
"SPHINGANINE.KINASE.RXN__er",0,0
"RXN66.3__chlo",0,0
"TREHALA.RXN__cyto",0,0
"TI3002826__cyto__extr",0,0
"X2OXOGLUTARATEDEH.RXN__mito",0,0
